,Out Date,Return Date,Out Duration,Return Duration,Out Stops,Return Stops,Out Time,Return Time,Company names,Price,Url,timestamp
21,14 juli,25 juli,8t. 30min. ,7t. 05min. ,1 stop VIE ,1 stop MUC ,07:05–16:35,15:50–21:55,"Austrian Airlines, Lufthansa","
3.548 kr. ",https://kayak.dk/book/flight?code=LNECF6KZui.gUEDyXbJuqWKtDGeeN0IhQ.50190.cccf12e9cc6b7781434bc2955d2205f1&h=ce6e94da6601&sub=E-19c860a62ea&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M20,20220504-1235
22,14 juli,25 juli,6t. 50min. ,8t. 10min. ,1 stop ATH ,"2 stop SKG, MUC ",17:30–01:20+1,14:45–21:55,Aegean Airlines,"
3.599 kr. ",https://kayak.dk/book/flight?code=LNECF6KZui.tb4DAgHpn3sEdn9PX-8xhQ.50905.03b8a5018affc94605734ff3db8b86c3&h=6af63d8a61f1&sub=E-1189fc906d1&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M21,20220504-1235
23,14 juli,25 juli,8t. 30min. ,6t. 20min. ,1 stop VIE ,1 stop FRA ,07:05–16:35,17:10–22:30,"Austrian Airlines, Lufthansa","
3.671 kr. ",https://kayak.dk/book/flight?code=LNECF6KZui.gUEDyXbJuqWKtDGeeN0IhQ.51930.e7c06989bff4f92b2e4cb12483537bfb&h=731e44bb822e&sub=E-19c860a62ea&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M22,20220504-1235
24,14 juli,25 juli,6t. 05min. ,7t. 05min. ,1 stop FRA ,1 stop MUC ,19:15–02:20+1,15:50–21:55,Lufthansa,"
3.699 kr. ",https://kayak.dk/book/flight?code=LNECF6KZui.gUEDyXbJuqWKtDGeeN0IhQ.52326.c732199e9ef38b40e8d98cf98426034a&h=423da1b58136&sub=E-1c5f380d8e4&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M23,20220504-1235
25,14 juli,25 juli,6t. 50min. ,6t. 15min. ,1 stop ATH ,1 stop VIE ,17:30–01:20+1,17:25–22:40,"Aegean Airlines, Austrian Airlines","
3.724 kr. ",https://kayak.dk/book/flight?code=LNECF6KZui.ZheJHZqHLmzKJvcpKN_waA.52670.f80ee96d36b5aa74d1290b1473030a7d&h=130a80304394&sub=E-1f19b37cb60&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M24,20220504-1235
26,14 juli,25 juli,6t. 05min. ,6t. 20min. ,1 stop FRA ,1 stop FRA ,19:15–02:20+1,17:10–22:30,Lufthansa,"
3.822 kr. ",https://kayak.dk/book/flight?code=LNECF6KZui.gUEDyXbJuqWKtDGeeN0IhQ.54066.e846cdc84b19ba93baa1310c43b0dc71&h=7c4f1baacc6d&sub=E-1c5f380d8e4&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M25,20220504-1235
27,14 juli,25 juli,7t. 30min. ,11t. 25min. ,1 stop BUD ,1 stop GDN ,07:00–15:30,21:05–07:30+1,Flere flyselskaber,"
1.996 kr. ",https://kayak.dk/book/flight?code=LNECF6KZui.eNCwACMVOeJpd4CyPwn0EI6M4XD8KcmF.28229.844464c03d7731303f58b8055b8bfef6&h=949763411070&sub=E-1d690605ad9&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M26,20220504-1235
28,14 juli,25 juli,4t. 05min. ,15t. 40min. ,direkte ,1 stop ATH ,20:35–01:40+1,21:05–11:45+1,"Wizz Air, Aegean Airlines","
2.462 kr. ",https://kayak.dk/book/flight?code=LNECF6KZui.7e2QikHpsTMDzQq2dWkU9A.34816.e9545fc65178f878914eec9f0c9dbe1f&h=d516d50b0f89&sub=E-1c3f425b86b&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M27,20220504-1235
29,14 juli,25 juli,13t. 50min. ,6t. 15min. ,1 stop VIE ,1 stop VIE ,09:50–00:40+1,17:25–22:40,Austrian Airlines,"
3.024 kr. ",https://kayak.dk/book/flight?code=LNECF6KZui.tb4DAgHpn3sEdn9PX-8xhQ.42778.eb3f5c12373cb98ff0b55ca60c5f0874&h=441abddb8f0c&sub=E-11232b537ef&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M28,20220504-1235
30,14 juli,25 juli,13t. 40min. ,6t. 15min. ,1 stop ZRH ,1 stop VIE ,20:00–10:40+1,17:25–22:40,"SWISS, Austrian Airlines","
3.106 kr. ",https://kayak.dk/book/flight?code=LNECF6KZui.tb4DAgHpn3sEdn9PX-8xhQ.43938.db9af680a6f746f8ba40ee3c8cb66115&h=ba6b045493d3&sub=E-14efee85ced&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M29,20220504-1235
31,14 juli,25 juli,6t. 50min. ,10t. 00min. ,1 stop ATH ,"2 stop ATH, FRA ",17:30–01:20+1,05:15–14:15,Aegean Airlines,"
3.189 kr. ",https://kayak.dk/book/flight?code=LNECF6KZui.tb4DAgHpn3sEdn9PX-8xhQ.45105.2ad89379d2250dfccb36d3f98e2e6b61&h=a8c5037fe6ea&sub=E-1189fc906d1&payment=0.00:DKK:VA_D:Visa%20Debit:true&pageOrigin=F..RP.FE.M30,20220504-1235
